row_id,source_id,due_date,process_date,transaction_description,transaction_amount,suspense_applied,finding
269,L2R,08/01/2024,03/11/2025,Funds Application,,-26563.41,SUSPENSE→APPLICATION
281,L2R,04/01/2024,03/11/2025,Funds Application,580.65,-13550.56,SUSPENSE→APPLICATION
282,L2R,04/01/2024,03/11/2025,Misapplication Reversal,,-1350.69,SUSPENSE→APPLICATION
284,L2R,04/01/2024,03/07/2025,Funds Application,6464.66,6464.66,HAF→SUSPENSE
285,L2R,04/01/2024,03/03/2025,Funds Application,35000.0,35000.0,HAF→SUSPENSE
302,L2R,03/01/2024,07/31/2024,Funds Application,578.06,-3387.64,SUSPENSE→APPLICATION
303,L2R,03/01/2024,07/30/2024,Modified Payment,3437.96,3437.96,HAF→SUSPENSE
111,L3,04-24,03-11-25,PAYMENT,0.0,-13550.56,SUSPENSE→APPLICATION
112,L3,04-24,03-11-25,MISAPPLICATION REVERSAL,0.0,-1350.69,SUSPENSE→APPLICATION
113,L3,04-24,03-11-25,LATE CHARGE ADJUSTMENT,0.0,932.89,HAF→SUSPENSE
114,L3,04-24,03-07-25,PAYMENT,6464.66,6464.66,HAF→SUSPENSE
115,L3,04-24,03-03-25,PAYMENT,35000.0,35000.0,HAF→SUSPENSE
120,L3,04-24,12-31-24,PAYMENT,0.0,-50.32,SUSPENSE→APPLICATION
132,L3,03-24,07-31-24,PAYMENT,0.0,-3387.64,SUSPENSE→APPLICATION
133,L3,03-24,07-30-24,PAYMENT,3437.96,3437.96,HAF→SUSPENSE
186,L4,04-24,03-11-25,PAYMENT,0.0,-13550.56,SUSPENSE→APPLICATION
187,L4,04-24,03-11-25,MISAPPLICATION REVERSAL,0.0,-1350.69,SUSPENSE→APPLICATION
188,L4,04-24,03-11-25,LATE CHARGE ADJUSTMENT,0.0,932.89,HAF→SUSPENSE
189,L4,04-24,03-07-25,PAYMENT,6464.66,6464.66,HAF→SUSPENSE
190,L4,04-24,03-03-25,PAYMENT,35000.0,35000.0,HAF→SUSPENSE
