type,description,present_in,missing_from
MISSING_TRANSACTION_TYPE,ATTORNEY ADVANCES,"L3, L4","L1, L2R"
MISSING_TRANSACTION_TYPE,Attorney Corp Advance,L2R,"L1, L3, L4"
MISSING_TRANSACTION_TYPE,CORP. ADVANCE ADJUSTMENT,L3,"L1, L2R, L4"
MISSING_TRANSACTION_TYPE,COUNTY TAX,"L3, L4","L1, L2R"
MISSING_TRANSACTION_TYPE,County Tax Disbursement,L2R,"L1, L3, L4"
MISSING_TRANSACTION_TYPE,ESCROW ADVANCE,"L3, L4","L1, L2R"
MISSING_TRANSACTION_TYPE,Escrow Advance,L2R,"L1, L3, L4"
MISSING_TRANSACTION_TYPE,Escrow Advance Repymt,L2R,"L1, L3, L4"
MISSING_TRANSACTION_TYPE,Fee Waive/Assess,L2R,"L1, L3, L4"
MISSING_TRANSACTION_TYPE,Funds Application,L2R,"L1, L3, L4"
MISSING_TRANSACTION_TYPE,HAZARD INSURANCE DISBURSEMENT,"L3, L4","L1, L2R"
MISSING_TRANSACTION_TYPE,Hazard Ins Disbursement,L2R,"L1, L3, L4"
MISSING_TRANSACTION_TYPE,LATE CHARGE ADJUSTMENT,"L3, L4","L1, L2R"
MISSING_TRANSACTION_TYPE,LATE CHARGE ASSESSMENT,"L3, L4","L1, L2R"
MISSING_TRANSACTION_TYPE,Late Charge Assessed,L2R,"L1, L3, L4"
MISSING_TRANSACTION_TYPE,MISAPPLICATION REVERSAL,"L3, L4","L1, L2R"
MISSING_TRANSACTION_TYPE,MISC. REPAYMENT,"L3, L4","L1, L2R"
MISSING_TRANSACTION_TYPE,Misapplication Reversal,L2R,"L1, L3, L4"
MISSING_TRANSACTION_TYPE,Misc Corp Adv Repay,L2R,"L1, L3, L4"
MISSING_TRANSACTION_TYPE,Modified Payment,L2R,"L1, L3, L4"
MISSING_TRANSACTION_TYPE,PAYMENT,"L3, L4","L1, L2R"
MISSING_TRANSACTION_TYPE,REPAY OF ESCROW ADVANCE,"L3, L4","L1, L2R"
MISSING_TRANSACTION_TYPE,STATUTORY EXPENSES,L3,"L1, L2R, L4"
MISSING_TRANSACTION_TYPE,Statutory Exp Corp Adv,L2R,"L1, L3, L4"
