row_id,source_id,due_date,process_date,delay_days,description,amount
283,L2R,04/01/2024,03/11/2025,344,Fee Waive/Assess,
279,L2R,04/01/2024,03/11/2025,344,Funds Application,
281,L2R,04/01/2024,03/11/2025,344,Funds Application,580.65
112,L3,04-24,03-11-25,344,MISAPPLICATION REVERSAL,0.0
110,L3,04-24,03-11-25,344,REPAY OF ESCROW ADVANCE,
185,L4,04-24,03-11-25,344,REPAY OF ESCROW ADVANCE,
187,L4,04-24,03-11-25,344,MISAPPLICATION REVERSAL,0.0
184,L4,04-24,03-11-25,344,PAYMENT,0.0
188,L4,04-24,03-11-25,344,LATE CHARGE ADJUSTMENT,0.0
113,L3,04-24,03-11-25,344,LATE CHARGE ADJUSTMENT,0.0
109,L3,04-24,03-11-25,344,PAYMENT,0.0
186,L4,04-24,03-11-25,344,PAYMENT,0.0
111,L3,04-24,03-11-25,344,PAYMENT,0.0
280,L2R,04/01/2024,03/11/2025,344,Escrow Advance Repymt,
282,L2R,04/01/2024,03/11/2025,344,Misapplication Reversal,
189,L4,04-24,03-07-25,340,PAYMENT,6464.66
114,L3,04-24,03-07-25,340,PAYMENT,6464.66
284,L2R,04/01/2024,03/07/2025,340,Funds Application,6464.66
115,L3,04-24,03-03-25,336,PAYMENT,35000.0
190,L4,04-24,03-03-25,336,PAYMENT,35000.0
