due_date,amount,suspense_L3,suspense_L4,difference,src1_row,src2_row,type,source_id,net_suspense
04-24,0.0,-50.32,-13550.56,13500.24,120.0,186.0,,,
04-24,0.0,-50.32,-1350.69,1300.3700000000001,120.0,187.0,,,
04-24,0.0,-50.32,932.89,983.21,120.0,188.0,,,
04-24,0.0,-13550.56,-1350.69,12199.869999999999,111.0,187.0,,,
04-24,0.0,-13550.56,932.89,14483.449999999999,111.0,188.0,,,
04-24,0.0,-1350.69,-13550.56,12199.869999999999,112.0,186.0,,,
04-24,0.0,-1350.69,932.89,2283.58,112.0,188.0,,,
04-24,0.0,932.89,-13550.56,14483.449999999999,113.0,186.0,,,
04-24,0.0,932.89,-1350.69,2283.58,113.0,187.0,,,
,,,,,,,NET_IMBALANCE,L2R,50.319999999996526
,,,,,,,NET_IMBALANCE,L3,27496.3
,,,,,,,NET_IMBALANCE,L4,27496.300000000003
