row_id,source_id,due_date,process_date,amount,escrow_applied,description
308,L2R,03/01/2024,04/19/2024,344.84,344.84,Escrow Advance
138,L3,03-24,04-19-24,344.84,344.84,ESCROW ADVANCE
305,L2R,03/01/2024,05/28/2024,6785.0,6785.0,Escrow Advance
135,L3,03-24,05-28-24,6785.0,6785.0,ESCROW ADVANCE
301,L2R,03/01/2024,07/31/2024,0.0,-722.18,Escrow Advance Repymt
296,L2R,04/01/2024,10/16/2024,1804.6,1804.6,Escrow Advance
126,L3,04-24,10-16-24,1804.6,1804.6,ESCROW ADVANCE
289,L2R,04/01/2024,12/31/2024,0.0,-50.32,Escrow Advance Repymt
256,L2R,12/01/2024,03/11/2025,0.0,-364.73,Escrow Advance Repymt
259,L2R,11/01/2024,03/11/2025,0.0,-978.9,Escrow Advance Repymt
262,L2R,10/01/2024,03/11/2025,0.0,-978.9,Escrow Advance Repymt
265,L2R,09/01/2024,03/11/2025,0.0,-978.9,Escrow Advance Repymt
268,L2R,08/01/2024,03/11/2025,0.0,-1971.79,Escrow Advance Repymt
271,L2R,07/01/2024,03/11/2025,0.0,-722.18,Escrow Advance Repymt
274,L2R,06/01/2024,03/11/2025,0.0,-722.18,Escrow Advance Repymt
277,L2R,05/01/2024,03/11/2025,0.0,-722.18,Escrow Advance Repymt
280,L2R,04/01/2024,03/11/2025,0.0,-722.18,Escrow Advance Repymt
75,L3,03-25,05-15-25,6584.62,6584.62,ESCROW ADVANCE
150,L4,03-25,05-15-25,6584.62,6584.62,ESCROW ADVANCE
