row_id,source_id,description,amount,is_round_number,due_date
145,L3,CORP. ADVANCE ADJUSTMENT,1831.27,False,00-00
308,L2R,Escrow Advance,344.84,False,03/01/2024
138,L3,ESCROW ADVANCE,344.84,False,03-24
305,L2R,Escrow Advance,6785.0,False,03/01/2024
135,L3,ESCROW ADVANCE,6785.0,False,03-24
296,L2R,Escrow Advance,1804.6,False,04/01/2024
126,L3,ESCROW ADVANCE,1804.6,False,04-24
123,L3,ATTORNEY ADVANCES,510.0,False,00-00
124,L3,ATTORNEY ADVANCES,595.0,False,00-00
117,L3,ATTORNEY ADVANCES,125.0,True,00-00
118,L3,ATTORNEY ADVANCES,75.0,True,00-00
192,L4,ATTORNEY ADVANCES,125.0,True,00-00
193,L4,ATTORNEY ADVANCES,75.0,True,00-00
116,L3,ATTORNEY ADVANCES,125.0,True,00-00
191,L4,ATTORNEY ADVANCES,125.0,True,00-00
250,L2R,Misc Corp Adv Repay,1350.69,False,
75,L3,ESCROW ADVANCE,6584.62,False,03-25
150,L4,ESCROW ADVANCE,6584.62,False,03-25
