source_id,row_id,prev_balance,principal_paid,expected_balance,actual_balance,gap
L1,44,1831.27,482331.76,-480500.49,0.0,480500.49
L3,84,474073.2,604.48,473468.72000000003,474680.39,1211.6699999999837
L3,87,474680.39,601.78,474078.61,475284.87,1206.2600000000093
L3,90,475284.87,599.1,474685.77,475886.65,1200.8800000000047
L3,93,475886.65,596.43,475290.22000000003,476485.75,1195.5299999999697
L3,96,476485.75,593.77,475891.98,477082.18,1190.2000000000116
L3,102,477082.18,588.48,476493.7,478267.07,1773.3699999999953
L3,105,478267.07,585.86,477681.21,478855.55,1174.3399999999674
L3,108,478855.55,583.25,478272.3,479441.41,1169.109999999986
L3,142,480605.31,575.48,480029.83,481183.37,1153.539999999979
L3,147,481183.37,572.91,480610.46,481758.85,1148.3899999999558
L4,159,474073.2,604.48,473468.72000000003,474680.39,1211.6699999999837
L4,162,474680.39,601.78,474078.61,475284.87,1206.2600000000093
L4,165,475284.87,599.1,474685.77,475886.65,1200.8800000000047
L4,168,475886.65,596.43,475290.22000000003,476485.75,1195.5299999999697
L4,171,476485.75,593.77,475891.98,477082.18,1190.2000000000116
L4,177,477082.18,588.48,476493.7,478267.07,1773.3699999999953
L4,180,478267.07,585.86,477681.21,478855.55,1174.3399999999674
L4,183,478855.55,583.25,478272.3,479441.41,1169.109999999986
